id	reg	vb	hinc	hmem	hint	fixline	hcar	sex	agecat	marits	red	empst	hhead	pinc	sim	seg_ls	q74#1	q74#2	q74#3	q74#4	q74#5	q74#6	q74#7	q74#8	q74#9	q65#13	q65#17	q65#18	q40_23	q75_1	q78_1
75	11	6	17	3	1	1	3	2	5	2	3	2	1	17	1	3	1	1	1	1	1	0	0	1	1	1	1	1	2	300	300
76	62	4	14	3	1	2	1	1	5	2	2	2	1	17	1	3	1	0	1	0	0	1	0	0	0	1	1	0	5	10	20
77	62	5	14	4	1	2	1	2	5	2	1	2	2	19	1	1	1	1	1	0	1	0	0	1	1	1	0	0	1	100	100
78	61	2	15	5	1	2	1	1	2	1	1	7	2	 	1	3	1	1	1	0	0	0	0	1	0	0	1	0	1	60	10
79	71	5	13	4	1	1	1	2	1	1	3	1	2	31	1	6	1	1	0	1	1	0	1	1	1	1	0	1	1	100	100
80	81	2	13	4	1	2	2	1	2	1	4	1	1	 	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	60	70
81	51	4	16	4	1	2	2	2	5	2	2	2	2	29	1	6	1	1	0	1	0	0	0	0	1	1	0	1	1	2	2
82	71	3	17	3	1	2	2	2	4	4	2	2	2	21	1	1	1	1	1	0	0	1	0	0	0	1	1	0	2	120	360
83	11	6	15	3	1	2	1	1	2	1	3	2	1	16	1	5	1	1	1	0	1	1	0	1	0	1	1	1	1	180	180
84	11	6	21	2	1	1	1	1	5	2	1	7	2	21	1	6	1	1	1	1	1	0	0	0	1	0	1	0	1	180	180
85	81	4	14	4	1	2	1	1	1	1	3	1	2	 	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	60	180
86	41	3	17	4	1	2	3	2	4	3	2	2	2	18	1	3	1	1	1	0	0	0	0	0	0	1	1	0	2	60	120
87	62	5	16	4	1	2	1	2	2	1	2	1	2	28	2	3	1	1	0	0	1	0	0	0	0	1	0	0	1	60	0
88	21	2	15	4	1	1	1	2	5	2	1	6	2	22	1	4	1	1	1	0	0	0	1	0	0	1	1	0	1	120	120
89	42	2	15	3	1	2	1	2	5	2	3	2	1	19	1	1	1	1	1	0	1	0	0	0	0	1	0	1	5	15	20
